iter	Passed	Remaining
400	21672	356656
401	21727	356612
402	21778	356510
403	21832	356447
404	21885	356374
405	21936	356286
406	21992	356248
407	22045	356187
408	22099	356134
409	22155	356109
410	22209	356052
411	22262	355984
412	22314	355897
413	22360	355721
414	22415	355673
415	22466	355582
416	22518	355484
417	22572	355433
418	22627	355402
419	22680	355323
420	22734	355270
421	22788	355220
422	22841	355156
423	22893	355071
424	22944	354961
425	22997	354889
426	23050	354832
427	23101	354731
428	23156	354685
429	23209	354620
430	23258	354494
431	23312	354441
432	23365	354362
433	23417	354279
434	23471	354233
435	23522	354125
436	23576	354085
437	23629	354009
438	23683	353955
439	23735	353873
440	23788	353811
441	23839	353711
442	23892	353635
443	23942	353530
444	23998	353504
445	24050	353423
446	24100	353312
447	24152	353233
448	24205	353160
449	24254	353037
450	24307	352964
451	24359	352892
452	24410	352786
453	24464	352736
454	24517	352677
455	24569	352595
456	24622	352527
457	24676	352472
458	24732	352453
459	24784	352370
460	24837	352303
461	24892	352262
462	24945	352196
463	24995	352086
464	25045	351980
465	25092	351828
466	25145	351761
467	25196	351679
468	25247	351574
469	25299	351504
470	25351	351415
471	25401	351318
472	25454	351245
473	25507	351184
474	25560	351122
475	25614	351065
476	25665	350971
477	25716	350882
478	25770	350827
479	25823	350771
480	25874	350682
481	25930	350659
482	25984	350602
483	26035	350515
484	26085	350406
485	26133	350279
486	26187	350222
487	26240	350159
488	26288	350034
489	26344	350007
490	26399	349973
491	26452	349897
492	26501	349792
493	26555	349737
494	26606	349645
495	26659	349582
496	26712	349516
497	26765	349455
498	26817	349382
499	26867	349282
500	26923	349253
501	26979	349231
502	27031	349151
503	27085	349108
504	27139	349054
505	27192	348988
506	27244	348915
507	27294	348806
508	27347	348744
509	27399	348671
510	27451	348598
511	27505	348543
512	27558	348482
513	27610	348408
514	27664	348351
515	27716	348281
516	27769	348222
517	27824	348179
518	27875	348090
519	27925	347992
520	27979	347940
521	28028	347831
522	28083	347797
523	28133	347696
524	28184	347603
525	28236	347538
526	28285	347429
527	28338	347361
528	28389	347279
529	28439	347173
530	28494	347134
531	28550	347114
532	28605	347079
533	28660	347036
534	28720	347061
535	28770	346966
536	28821	346881
537	28875	346823
538	28925	346733
539	28978	346664
540	29027	346562
541	29080	346498
542	29132	346419
543	29184	346348
544	29239	346314
545	29288	346210
546	29340	346127
547	29392	346058
548	29445	345993
549	29500	345958
550	29554	345907
551	29605	345823
552	29658	345761
553	29714	345742
554	29771	345720
555	29822	345639
556	29874	345570
557	29926	345491
558	29982	345473
559	30040	345467
560	30102	345504
561	30162	345521
562	30226	345589
563	30283	345577
564	30335	345501
565	30389	345449
566	30442	345395
567	30494	345319
568	30544	345219
569	30593	345116
570	30646	345058
571	30700	345008
572	30754	344954
573	30807	344894
574	30857	344800
575	30909	344721
576	30960	344644
577	31014	344591
578	31074	344605
579	31131	344590
580	31207	344788
581	31271	344851
582	31329	344841
583	31403	345013
584	31480	345212
585	31557	345412
586	31627	345530
587	31687	345540
588	31747	345553
589	31810	345607
590	31875	345668
591	31943	345771
592	32007	345826
593	32072	345880
594	32134	345917
595	32202	346015
596	32265	346051
597	32325	346063
598	32392	346152
599	32454	346176
600	32515	346201
601	32578	346243
602	32639	346262
603	32704	346318
604	32767	346365
605	32827	346370
606	32892	346426
607	32955	346469
608	33018	346499
609	33080	346536
610	33148	346620
611	33213	346682
612	33277	346722
613	33341	346772
614	33403	346796
615	33468	346851
616	33532	346898
617	33595	346937
618	33658	346971
619	33723	347023
620	33784	347042
621	33847	347075
622	33911	347118
623	33976	347167
624	34038	347197
625	34104	347260
626	34167	347287
627	34229	347312
628	34289	347312
629	34356	347378
630	34420	347418
631	34487	347493
632	34552	347545
633	34615	347575
634	34686	347684
635	34748	347701
636	34798	347604
637	34853	347547
638	34907	347489
639	34960	347419
640	35013	347352
641	35067	347291
642	35119	347204
643	35171	347131
644	35226	347079
645	35280	347011
646	35334	346958
647	35396	346971
648	35455	346960
649	35515	346959
650	35571	346919
651	35621	346821
652	35679	346795
653	35733	346739
654	35786	346664
655	35838	346586
656	35891	346512
657	35942	346421
658	35998	346380
659	36052	346322
660	36105	346249
661	36156	346159
662	36209	346088
663	36266	346059
664	36328	346073
665	36386	346056
666	36437	345969
667	36492	345917
668	36547	345865
669	36600	345795
670	36654	345736
671	36712	345704
672	36766	345648
673	36815	345542
674	36869	345479
675	36925	345436
676	36978	345366
677	37030	345287
678	37083	345224
679	37139	345182
680	37191	345100
681	37247	345059
682	37300	344987
683	37351	344902
684	37406	344851
685	37461	344794
686	37514	344725
687	37568	344672
688	37622	344611
689	37680	344585
690	37737	344551
691	37791	344494
692	37844	344421
693	37900	344381
694	37953	344315
695	38011	344291
696	38086	344419
697	38166	344593
698	38237	344683
699	38308	344773
700	38379	344870
701	38441	344876
702	38497	344835
703	38556	344813
704	38627	344909
705	38698	345001
706	38764	345043
707	38821	345005
708	38872	344917
709	38926	344857
710	39000	344969
711	39066	345011
712	39173	345422
713	39281	345828
714	39381	346171
715	39459	346314
716	39523	346341
717	39588	346371
718	39649	346366
719	39703	346300
720	39766	346312
721	39833	346368
722	39902	346425
723	39969	346471
724	40044	346595
725	40122	346732
726	40194	346819
727	40253	346799
728	40315	346799
729	40372	346757
730	40424	346678
731	40474	346578
732	40525	346483
733	40573	346363
734	40621	346251
735	40670	346145
736	40727	346099
737	40778	346006
738	40828	345909
739	40884	345861
740	40962	345998
741	41041	346144
742	41102	346131
743	41157	346075
744	41210	346006
745	41260	345903
746	41317	345857
747	41371	345796
748	41429	345764
749	41478	345655
750	41531	345579
751	41586	345524
752	41638	345441
753	41691	345369
754	41741	345264
755	41792	345177
756	41843	345085
757	41898	345030
758	41951	344953
759	42003	344871
760	42055	344791
761	42128	344875
762	42239	345275
763	42346	345641
764	42427	345797
765	42481	345734
766	42548	345771
767	42615	345803
768	42677	345806
769	42736	345780
770	42793	345730
771	42851	345698
772	42911	345678
773	42974	345686
774	43032	345650
775	43092	345626
776	43149	345582
777	43207	345546
778	43262	345489
779	43320	345450
780	43381	345439
781	43440	345409
782	43506	345437
783	43565	345412
784	43624	345383
785	43683	345356
786	43739	345301
787	43795	345247
788	43850	345193
789	43907	345145
790	43964	345105
791	44028	345111
792	44117	345317
793	44228	345693
794	44332	346013
795	44417	346188
796	44522	346515
797	44602	346647
798	44689	346829
799	44766	346942
800	44840	347025
801	44927	347210
802	45000	347284
803	45074	347366
804	45155	347501
805	45210	347435
806	45259	347329
807	45315	347268
808	45372	347220
809	45453	347354
810	45512	347323
811	45568	347259
812	45625	347214
813	45695	347264
814	45759	347266
815	45844	347427
816	45925	347564
817	46008	347710
818	46085	347806
819	46145	347777
820	46211	347792
821	46279	347827
822	46346	347851
823	46420	347932
824	46494	348001
825	46564	348052
826	46632	348077
827	46703	348135
828	46773	348179
829	46847	348248
830	46921	348323
831	47024	348614
832	47095	348667
833	47172	348757
834	47257	348916
835	47353	349147
836	47428	349222
837	47491	349216
838	47551	349184
839	47609	349136
840	47666	349081
841	47723	349027
842	47782	348991
843	47841	348945
844	47921	349062
845	48017	349293
846	48123	349589
847	48210	349753
848	48285	349826
849	48439	350475
850	48516	350559
851	48590	350624
852	48717	351073
853	48812	351291
854	48904	351483
855	48966	351461
856	49025	351415
857	49093	351433
858	49162	351463
859	49228	351465
860	49290	351443
861	49354	351439
862	49420	351441
863	49484	351430
864	49552	351450
865	49635	351572
866	49712	351658
867	49779	351667
868	49840	351636
869	49908	351652
870	49969	351620
871	50029	351583
872	50103	351640
873	50174	351677
874	50233	351631
875	50311	351723
876	50389	351808
877	50490	352052
878	50621	352510
879	50709	352663
880	50786	352735
881	50868	352847
882	50928	352807
883	50988	352763
884	51057	352788
885	51137	352882
886	51226	353040
887	51303	353115
888	51390	353258
889	51463	353302
890	51539	353369
891	51634	353569
892	51749	353901
893	51840	354072
894	51906	354068
895	51971	354059
896	52032	354017
897	52107	354073
898	52180	354118
899	52249	354137
900	52398	354693
901	52510	354997
902	52622	355301
903	52723	355532
904	52823	355756
905	52911	355895
906	52985	355944
907	53074	356087
908	53166	356257
909	53254	356396
910	53362	356670
911	53443	356759
912	53524	356847
913	53609	356966
914	53690	357058
915	53785	357236
916	53868	357342
917	53944	357399
918	54021	357457
919	54110	357597
920	54204	357772
921	54305	357995
922	54393	358123
923	54488	358300
924	54545	358233
925	54608	358197
926	54699	358346
927	54791	358506
928	54944	359062
929	55077	359481
930	55354	360847
931	55476	361193
932	55561	361301
933	55675	361593
934	55786	361864
935	55878	362013
936	55960	362102
937	56034	362132
938	56115	362213
939	56214	362405
940	56325	362674
941	56397	362690
942	56477	362761
943	56576	362954
944	56657	363026
945	56723	363003
946	56788	362978
947	56862	363007
948	56954	363153
949	57034	363222
950	57132	363399
951	57235	363614
952	57312	363662
953	57385	363679
954	57493	363923
955	57584	364061
956	57656	364075
957	57732	364114
958	57804	364126
959	57886	364200
960	57958	364218
961	58040	364289
962	58110	364291
963	58184	364314
964	58286	364514
965	58389	364721
966	58480	364855
967	58545	364819
968	58622	364861
969	58684	364813
970	58748	364772
971	58823	364800
972	58887	364765
973	58950	364717
974	59046	364878
975	59134	364986
976	59219	365076
977	59319	365259
978	59388	365250
979	59456	365230
980	59527	365238
981	59599	365245
982	59684	365332
983	59757	365349
984	59826	365336
985	59909	365410
986	59977	365392
987	60045	365377
988	60118	365390
989	60198	365448
990	60317	365736
991	60422	365948
992	60528	366160
993	60628	366331
994	60701	366343
995	60764	366297
996	60837	366307
997	60906	366296
998	60982	366324
999	61052	366317
1000	61125	366328
1001	61192	366299
1002	61266	366318
1003	61346	366370
1004	61427	366427
1005	61491	366384
1006	61578	366476
1007	61656	366512
1008	61729	366523
1009	61796	366496
1010	61863	366466
1011	61930	366443
1012	62006	366470
1013	62076	366461
1014	62150	366473
1015	62222	366475
1016	62301	366520
1017	62386	366596
1018	62463	366628
1019	62534	366624
1020	62607	366630
1021	62687	366681
1022	62760	366683
1023	62821	366619
1024	62884	366568
1025	62954	366560
1026	63022	366538
1027	63106	366607
1028	63180	366618
1029	63262	366676
1030	63342	366722
1031	63416	366734
1032	63491	366750
1033	63578	366838
1034	63664	366916
1035	63751	367003
1036	63834	367064
1037	63909	367081
1038	63977	367053
1039	64053	367073
1040	64131	367107
1041	64215	367175
1042	64290	367186
1043	64354	367142
1044	64437	367199
1045	64509	367197
1046	64584	367213
1047	64658	367221
1048	64733	367237
1049	64806	367237
1050	64926	367507
1051	65022	367636
1052	65092	367618
1053	65163	367609
1054	65298	367962
1055	65423	368253
1056	65528	368437
1057	65627	368581
1058	65734	368769
1059	65827	368884
1060	65935	369077
1061	66053	369330
1062	66166	369550
1063	66274	369740
1064	66368	369857
1065	66462	369969
1066	66563	370125
1067	66657	370237
1068	66755	370370
1069	66873	370613
1070	66972	370758
1071	67078	370935
1072	67174	371056
1073	67245	371041
1074	67329	371094
1075	67424	371210
1076	67502	371231
1077	67583	371267
1078	67659	371282
1079	67730	371263
1080	67796	371221
1081	67861	371168
1082	67931	371144
1083	68000	371119
1084	68068	371085
1085	68132	371028
1086	68203	371008
1087	68270	370968
1088	68365	371081
1089	68449	371134
1090	68534	371191
1091	68604	371166
1092	68727	371429
1093	68828	371570
1094	68914	371637
1095	68984	371610
1096	69053	371578
1097	69117	371520
1098	69186	371493
1099	69266	371520
1100	69336	371495
1101	69419	371537
1102	69503	371585
1103	69596	371684
1104	69674	371702
1105	69758	371748
1106	69842	371798
1107	69926	371845
1108	70014	371917
1109	70096	371954
1110	70165	371922
1111	70240	371918
1112	70305	371867
1113	70405	372001
1114	70496	372082
1115	70587	372163
1116	70662	372164
1117	70729	372120
1118	70794	372068
1119	70870	372070
1120	70937	372028
1121	71005	371989
1122	71073	371948
1123	71136	371882
1124	71203	371839
1125	71280	371851
1126	71359	371865
1127	71447	371933
1128	71545	372049
1129	71618	372034
1130	71685	371993
1131	71755	371962
1132	71819	371900
1133	71885	371851
1134	71948	371788
1135	72015	371740
1136	72081	371693
1137	72150	371659
1138	72217	371614
1139	72281	371552
1140	72348	371509
1141	72429	371536
1142	72497	371493
1143	72565	371452
1144	72632	371407
1145	72701	371371
1146	72766	371316
1147	72829	371252
1148	72893	371191
1149	72960	371147
1150	73025	371091
1151	73088	371026
1152	73155	370981
1153	73223	370939
1154	73293	370908
1155	73361	370870
1156	73430	370834
1157	73505	370830
1158	73575	370799
1159	73644	370761
1160	73712	370722
1161	73775	370656
1162	73843	370612
1163	73906	370549
1164	73979	370531
1165	74048	370498
1166	74125	370499
1167	74215	370567
1168	74297	370596
1169	74370	370582
1170	74440	370551
1171	74518	370556
1172	74588	370527
1173	74665	370529
1174	74738	370512
1175	74812	370501
1176	74883	370472
1177	74956	370456
1178	75022	370405
1179	75087	370346
1180	75152	370291
1181	75223	370260
1182	75287	370200
1183	75352	370142
1184	75417	370086
1185	75483	370032
1186	75548	369976
1187	75619	369952
1188	75685	369900
1189	75755	369863
1190	75819	369804
1191	75885	369749
1192	75949	369690
1193	76015	369638
1194	76084	369598
1195	76151	369552
1196	76237	369594
1197	76334	369692
1198	76422	369748
1199	76497	369737
1200	76576	369747
1201	76659	369776
1202	76742	369804
1203	76815	369787
1204	76891	369782
1205	76970	369792
1206	77117	370125
1207	77235	370323
1208	77358	370539
1209	77471	370712
1210	77566	370794
1211	77655	370851
1212	77765	371003
1213	77884	371203
1214	77983	371304
1215	78081	371401
1216	78176	371481
1217	78273	371575
1218	78367	371653
1219	78466	371750
1220	78548	371771
1221	78617	371730
1222	78688	371697
1223	78760	371665
1224	78833	371644
1225	78906	371620
1226	78978	371591
1227	79049	371556
1228	79120	371524
1229	79189	371484
1230	79265	371470
1231	79340	371457
1232	79428	371504
1233	79538	371652
1234	79640	371763
1235	79727	371804
1236	79820	371870
1237	79892	371843
1238	79969	371836
1239	80039	371795
1240	80109	371757
1241	80197	371801
1242	80291	371872
1243	80385	371946
1244	80474	371993
1245	80555	372002
1246	80638	372021
1247	80708	371984
1248	80773	371920
1249	80837	371850
1250	80909	371822
1251	80970	371741
1252	81035	371678
1253	81102	371623
1254	81172	371584
1255	81244	371552
1256	81326	371565
1257	81451	371774
1258	81590	372051
1259	81684	372118
1260	81778	372185
1261	81871	372248
1262	81969	372332
1263	82105	372593
1264	82204	372683
1265	82297	372743
1266	82396	372832
1267	82494	372914
1268	82618	373119
1269	82729	373259
1270	82841	373404
1271	82958	373574
1272	83068	373708
1273	83173	373825
1274	83306	374061
1275	83448	374341
1276	83527	374336
1277	83626	374421
1278	83706	374420
1279	83768	374340
1280	83843	374317
1281	83947	374425
1282	84046	374510
1283	84141	374574
1284	84249	374698
1285	84343	374760
1286	84436	374813
1287	84513	374797
1288	84588	374775
1289	84659	374734
1290	84731	374694
1291	84797	374631
1292	84860	374553
1293	84923	374478
1294	84996	374444
1295	85072	374425
1296	85155	374436
1297	85225	374388
1298	85291	374323
1299	85361	374276
1300	85435	374248
1301	85509	374219
1302	85585	374199
1303	85663	374187
1304	85745	374193
1305	85824	374182
1306	85898	374153
1307	85973	374127
1308	86046	374097
1309	86120	374064
1310	86188	374010
1311	86271	374018
1312	86343	373980
1313	86414	373935
1314	86485	373895
1315	86570	373911
1316	86686	374063
1317	86764	374049
1318	86838	374016
1319	86913	373989
1320	86989	373967
1321	87063	373939
1322	87134	373895
1323	87214	373890
1324	87283	373836
1325	87349	373769
1326	87416	373708
1327	87501	373725
1328	87606	373828
1329	87689	373832
1330	87766	373813
1331	87833	373754
1332	87897	373679
1333	87957	373587
1334	88022	373517
1335	88084	373436
1336	88146	373354
1337	88219	373316
1338	88278	373222
1339	88335	373117
1340	88398	373040
1341	88459	372953
1342	88524	372882
1343	88605	372883
1344	88676	372836
1345	88739	372757
1346	88800	372671
1347	88864	372597
1348	88925	372512
1349	88988	372432
1350	89047	372339
1351	89109	372257
1352	89170	372170
1353	89235	372101
1354	89296	372013
1355	89362	371947
1356	89429	371885
1357	89491	371802
1358	89551	371713
1359	89617	371649
1360	89682	371577
1361	89744	371495
1362	89805	371409
1363	89865	371319
1364	89929	371246
1365	89990	371162
1366	90049	371067
1367	90110	370981
1368	90173	370901
1369	90233	370812
1370	90295	370731
1371	90359	370657
1372	90419	370569
1373	90479	370478
1374	90543	370406
1375	90599	370297
1376	90662	370220
1377	90751	370250
1378	90808	370146
1379	90867	370054
1380	90926	369959
1381	90983	369861
1382	91045	369777
1383	91108	369700
1384	91173	369629
1385	91237	369556
1386	91303	369493
1387	91373	369445
1388	91446	369405
1389	91508	369324
1390	91568	369235
1391	91633	369166
1392	91698	369097
1393	91760	369014
1394	91818	368918
1395	91879	368836
1396	91939	368743
1397	91999	368656
1398	92061	368576
1399	92127	368508
1400	92204	368486
1401	92268	368417
1402	92326	368318
1403	92389	368240
1404	92449	368154
1405	92511	368071
1406	92569	367977
1407	92630	367891
1408	92690	367799
1409	92749	367710
1410	92809	367621
1411	92871	367540
1412	92931	367452
1413	92993	367371
1414	93054	367284
1415	93114	367197
1416	93175	367112
1417	93238	367036
1418	93300	366955
1419	93364	366883
1420	93419	366776
1421	93483	366701
1422	93543	366615
1423	93604	366529
1424	93672	366473
1425	93737	366403
1426	93796	366314
1427	93858	366233
1428	93919	366147
1429	93975	366042
1430	94035	365957
1431	94097	365874
1432	94162	365806
1433	94221	365715
1434	94281	365627
1435	94343	365546
1436	94402	365457
1437	94461	365364
1438	94520	365271
1439	94575	365166
1440	94632	365067
1441	94689	364967
1442	94747	364872
1443	94806	364780
1444	94863	364683
1445	94923	364594
1446	94986	364518
1447	95059	364481
1448	95126	364420
1449	95182	364319
1450	95240	364224
1451	95300	364136
1452	95359	364045
1453	95416	363947
1454	95473	363850
1455	95532	363757
1456	95587	363652
1457	95644	363555
1458	95704	363465
1459	95761	363370
1460	95817	363265
1461	95871	363158
1462	95930	363066
1463	95988	362973
1464	96048	362885
1465	96106	362792
1466	96164	362698
1467	96224	362610
1468	96283	362522
1469	96342	362430
1470	96398	362330
1471	96455	362232
1472	96514	362143
1473	96569	362036
1474	96629	361950
1475	96681	361836
1476	96741	361750
1477	96798	361651
1478	96855	361553
1479	96911	361454
1480	96972	361369
1481	97026	361261
1482	97082	361164
1483	97138	361062
1484	97193	360958
1485	97254	360875
1486	97313	360785
1487	97373	360700
1488	97430	360604
1489	97486	360502
1490	97544	360410
1491	97597	360301
1492	97656	360209
1493	97712	360110
1494	97772	360024
1495	97824	359911
1496	97878	359803
1497	97934	359702
1498	97990	359602
1499	98045	359500
1500	98100	359397
1501	98158	359303
1502	98214	359205
1503	98274	359119
1504	98332	359027
1505	98386	358919
1506	98443	358824
1507	98497	358717
1508	98551	358613
1509	98609	358520
1510	98662	358410
1511	98723	358328
1512	98780	358233
1513	98835	358131
1514	98887	358020
1515	98940	357909
1516	98992	357796
1517	99047	357693
1518	99103	357594
1519	99159	357495
1520	99211	357384
1521	99270	357293
1522	99328	357203
1523	99385	357109
1524	99436	356994
1525	99491	356892
1526	99547	356792
1527	99604	356698
1528	99657	356589
1529	99711	356486
1530	99770	356399
1531	99822	356283
1532	99877	356183
1533	99929	356072
1534	99985	355975
1535	100039	355867
1536	100094	355768
1537	100150	355670
1538	100205	355570
1539	100261	355472
1540	100313	355360
1541	100369	355262
1542	100423	355158
1543	100479	355063
1544	100531	354952
1545	100584	354843
1546	100636	354731
1547	100693	354639
1548	100751	354548
1549	100810	354463
1550	100863	354353
1551	100918	354255
1552	100971	354149
1553	101029	354056
1554	101081	353947
1555	101134	353842
1556	101187	353732
1557	101241	353630
1558	101294	353525
1559	101347	353417
1560	101401	353315
1561	101456	353215
1562	101512	353117
1563	101570	353027
1564	101625	352927
1565	101680	352828
1566	101733	352724
1567	101786	352616
1568	101835	352495
1569	101886	352384
1570	101940	352280
1571	101993	352175
1572	102045	352066
1573	102097	351956
1574	102146	351836
1575	102196	351723
1576	102249	351616
1577	102280	351436
1578	102331	351322
1579	102383	351215
1580	102437	351113
1581	102493	351016
1582	102545	350909
1583	102594	350789
1584	102645	350677
1585	102697	350569
1586	102748	350457
1587	102799	350348
1588	102853	350244
1589	102903	350129
1590	102954	350018
1591	103003	349902
1592	103055	349792
1593	103105	349679
1594	103155	349565
1595	103209	349463
1596	103263	349362
1597	103313	349249
1598	103370	349156
1599	103433	349086
1600	103487	348987
1601	103543	348894
1602	103616	348858
1603	103694	348837
1604	103765	348793
1605	103834	348744
1606	103903	348693
1607	103992	348712
1608	104068	348684
1609	104141	348647
1610	104211	348599
1611	104282	348557
1612	104349	348499
1613	104420	348457
1614	104484	348388
1615	104550	348330
1616	104618	348276
1617	104682	348209
1618	104753	348163
1619	104817	348096
1620	104883	348036
1621	104953	347990
1622	105021	347936
1623	105090	347887
1624	105159	347835
1625	105226	347778
1626	105295	347728
1627	105360	347662
1628	105426	347602
1629	105490	347537
1630	105558	347482
1631	105623	347419
1632	105693	347370
1633	105762	347320
1634	105832	347272
1635	105901	347222
1636	105969	347169
1637	106033	347102
1638	106101	347048
1639	106170	346995
1640	106240	346947
1641	106308	346895
1642	106379	346849
1643	106448	346799
1644	106513	346736
1645	106570	346646
1646	106629	346561
1647	106688	346478
1648	106749	346401
1649	106815	346339
1650	106886	346295
1651	106955	346246
1652	107035	346229
1653	107107	346189
1654	107185	346168
1655	107259	346132
1656	107334	346099
1657	107397	346030
1658	107455	345942
1659	107523	345887
1660	107597	345853
1661	107669	345810
1662	107738	345759
1663	107805	345702
1664	107874	345650
