iter	RMSE
349	18.22427175
350	18.21011372
351	18.18897814
352	18.16156094
353	18.13869189
354	18.10649448
355	18.09479108
356	18.07085256
357	18.05496821
358	18.04100124
359	18.01425386
360	17.99640974
361	17.97971353
362	17.95452548
363	17.93580684
364	17.91767398
365	17.88474647
366	17.86440161
367	17.83849895
368	17.82915365
369	17.81553535
370	17.79561717
371	17.76581901
372	17.73858921
373	17.72558771
374	17.69319928
375	17.65491269
376	17.63805358
377	17.61503164
378	17.59141475
379	17.57178479
380	17.55054316
381	17.53209242
382	17.51362075
383	17.49336078
384	17.46792177
385	17.44796878
386	17.42615732
387	17.41076532
388	17.39270808
389	17.38116066
390	17.36165725
391	17.34306326
392	17.32007539
393	17.29962731
394	17.29464997
395	17.28348937
396	17.25623693
397	17.23042024
398	17.21458013
399	17.19991623
400	17.17861333
401	17.16115028
402	17.12655241
403	17.10974049
404	17.08910534
405	17.0665297
406	17.03644899
407	17.01642201
408	17.00081606
409	16.97683869
410	16.96179718
411	16.93767414
412	16.91935719
413	16.89009785
414	16.88269984
415	16.88002591
416	16.86221454
417	16.8357808
418	16.81931057
419	16.79781223
420	16.77744604
421	16.75209267
422	16.73152395
423	16.71654484
424	16.70177122
425	16.68345636
426	16.6616082
427	16.64297196
428	16.64097083
429	16.6234821
430	16.601868
431	16.58872016
432	16.5650231
433	16.54142789
434	16.51753079
435	16.50101965
436	16.48835348
437	16.47270688
438	16.45069065
439	16.43702668
440	16.41172612
441	16.3956586
442	16.37766015
443	16.36041617
444	16.34317314
445	16.31755702
446	16.30478766
447	16.27669251
448	16.25929239
449	16.23215564
450	16.22879056
451	16.20888163
452	16.19004717
453	16.1688885
454	16.14891907
455	16.13277614
456	16.13137444
457	16.11548396
458	16.09667403
459	16.08344948
460	16.06881111
461	16.05170079
462	16.05027253
463	16.02735748
464	16.0071772
465	15.99221566
466	15.97681237
467	15.97539115
468	15.9592261
469	15.94292295
470	15.92059102
471	15.89847389
472	15.89192945
473	15.89070427
474	15.87506182
475	15.85981462
476	15.83732065
477	15.82125088
478	15.79921657
479	15.781273
480	15.75109168
481	15.73335337
482	15.71078263
483	15.69887516
484	15.6829402
485	15.65730894
486	15.64137952
487	15.61636321
488	15.61515577
489	15.59711813
490	15.5946808
491	15.57681724
